,,,,,,,,5/26/92,,,,,
,,,,,,,,,,,,,
,,Table 1:,"MEAN, MEDIAN, AND SAMPLE SIZE--TRAVEL TIME FOR WASHCOG REGION",,,,,,,,,,
,,,,AM AND PM PEAK PERIOD,,,,,,,,,
,,,,,,,,,,,,,
,,,H2W,W2H,H2O,O2H,W2O,O2W,O2O,,,,
,,,,,,,,,,,,,
,AUTO1,1968,28.3,32.5,19.2,17.8,27.3,24.4,17.9,,,,
,,,(30.0),(30.0),(15.0),(15.0),(25.0),(20.0),(15.0),,,,
,,,11633,9124,3823,3656,996,341,738,,,,
,,1988,28.9,32.5,18.6,19.9,26.6,25.8,17.8,,,,
,,,(27.5),(30.0),(15.0),(15.0),(20.0),(22.0),(15.0),,,,
,,,3260,2181,1378,1456,847,734,726,,,,
,,,,,,,,,,,,,
,AUTO2,1968,32.3,36.4,17.2,17.9,27.8,25.8,17.1,,,,
,,,(30.0),(30.0),(15.0),(15.0),(25.0),(24.0),(15.0),,,,
,,,4962,3792,7068,4191,399,178,1337,,,,
,,1988,31.2,32.3,18.1,18.7,26.4,32.9,17,,,,
,,,(30.0),(30.0),(15.0),(15.0),(20.0),(30.0),(15.0),,,,
,,,311,196,1025,651,180,148,530,,,,
,,,,,,,,,,,,,
,AUTO3,1968,40.7,47.3,17.3,18.5,32.3,35,15.1,,,,
,,,(40.0),(45.0),(10.0),(15.0),(30.0),(25.0),(10.0),,,,
,,,403,324,1194,745,33,27,256,,,,
,,1988,37.8,44.1,16.7,15.1,30.1,33.5,18.2,,,,
,,,(35.0),(45.0),(15.0),(15.0),(25.0),(30.0),(15.0),,,,
,,,105,70,601,298,57,50,233,,,,
,,,,,,,,,,,,,
,WCT,1968,44.3,51.4,39.6,42.8,38.5,36.8,33.5,,,,
,,,(42.5),(45.0),(35.0),(35.0),(30.0),(30.0),(30.0),,,,
,,,3176,2693,875,391,172,44,72,,,,
,,1988,39.6,43.8,36,36.3,37.6,23.9,34.6,,,,
,,,(35.0),(42.5),(30.0),(30.0),(30.0),(26.0),(30.0),,,,
,,,761,637,167,176,159,104,80,,,,
,,,,,,,,,,,,,
,ADT,1968,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1988,55.5,53.1,36,,,43.7,,,,,
,,,(55.0),(60.0),(35.0),,,(40.0),,,,,
,,,146,91,4,2,,21,4,,,,
,,,,,,,,,,,,,
,APT,1968,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,1988,49.3,57.4,,,,,,,,,
,,,(47.5),(60.0),,,,,,,,,
,,,84,72,3,4,,7,3,,,,
,,,,,,,,,,,,,
,WALK,1968,14.4,,,,,,,,,,
,,,(10.0),,,,,,,,,,
,,,773,1,,,,,,,,,
,,1988,20.3,19.9,13.6,14,16.8,14.5,18.6,,,,
